white;black;white_result
Straka Vojtech;Hornik Matej;1.0
Bango Dominik;Varsanyi Adam;1.0
Jancovicova Petra;Majer Jakub;1.0
Bridl Dominik;Zilinek Tomas;1.0
Ergang Martin;Vojtechovsky Michal;1.0
Badura Richard;Kravar Peter;0.5
Buch Marek;Radsetoulal Vlastimil;0.0
Mateas Branislav;Pelanek Daniel;1.0
Hromada Denis;Zavadil Tomas;1.0
Benovic Martin;Just Vojtech;1.0
Prokop Jiri;Bobor Dominik;0.0
Holop Patrik;Kuznik Jakub;0.0
Matuska Miloslav;Stetina Jakub;1.0
Saskova Renata;Malik Viktor;1.0

Batora Matej;Husek Martin;1.0
Lintner Igor;Havelka Ondrej;1.0
Sramek Vojtech;Mateas Branislav;1.0
Straka Vojtech;Rucek Peter;1.0
Hornik Matej;Bango Dominik;1.0
Jancovicova Petra;Shelest Oleksii;0.5
Gvozdjak Peter;Pelanek Daniel;1.0
Bridl Dominik;Radsetoulal Vlastimil;1.0
Zilinek Tomas;Majer Jakub;0.5
Ergang Martin;Hromada Denis;1.0
Vojtechovsky Michal;Zavadil Tomas;1.0
Badura Richard;Kuznik Jakub;1.0
Buch Marek;Bobor Dominik;1.0
Kravar Peter;Varsanyi Adam;1.0
Benovic Martin;Malik Viktor;1.0
Prokop Jiri;Matuska Miloslav;1.0
Holop Patrik;Stetina Jakub;1.0
Saskova Renata;Just Vojtech;0.0

Batora Matej;Lintner Igor;1.0
Husek Martin;Bridl Dominik;1.0
Sramek Vojtech;Straka Vojtech;1.0
Hornik Matej;Rucek Peter;1.0
Bango Dominik;Havelka Ondrej;1.0
Jancovicova Petra;Mateas Branislav;1.0
Shelest Oleksii;Ergang Martin;1.0
Gvozdjak Peter;Badura Richard;1.0
Zilinek Tomas;Kuznik Jakub;1.0
Vojtechovsky Michal;Majer Jakub;1.0
Buch Marek;Kravar Peter;0.5
Pelanek Daniel;Hromada Denis;0.0
Varsanyi Adam;Radsetoulal Vlastimil;1.0
Benovic Martin;Saskova Renata;1.0
Prokop Jiri;Zavadil Tomas;1.0
Bobor Dominik;Holop Patrik;1.0
Matuska Miloslav;Malik Viktor;1.0
Just Vojtech;Stetina Jakub;0.5

Batora Matej;Sramek Vojtech;1.0
Lintner Igor;Hornik Matej;1.0
Husek Martin;Straka Vojtech;1.0
Bango Dominik;Gvozdjak Peter;1.0
Jancovicova Petra;Rucek Peter;1.0
Shelest Oleksii;Bridl Dominik;0.5
Havelka Ondrej;Hromada Denis;1.0
Zilinek Tomas;Varsanyi Adam;1.0
Ergang Martin;Mateas Branislav;1.0
Vojtechovsky Michal;Kravar Peter;1.0
Badura Richard;Bobor Dominik;1.0
Buch Marek;Prokop Jiri;1.0
Pelanek Daniel;Kuznik Jakub;1.0
Majer Jakub;Matuska Miloslav;1.0
Benovic Martin;Radsetoulal Vlastimil;1.0
Zavadil Tomas;Just Vojtech;1.0
Holop Patrik;Malik Viktor;1.0
Saskova Renata;Stetina Jakub;1.0

Kuchar Matej;Buch Marek;1.0
Rucek Kristian;Holba Josef;1.0
Rysanek Jakub;Gvozdjak Peter;1.0
Kucera David;Kromp Milos;1.0
Kuna Martin;Fojtik Jakub;1.0
Ibrahim Emad Eldin;Cernicky Martin;1.0
Huska Jan;Maresova Valentyna Marie;1.0
Ulcak Michael;Pelanek Daniel;1.0
Krakovsky Matej;Prc Daniel;1.0
Shelest Oleksii;Palenik Martin;1.0
Tulis Jan;Kostelnik Martin;1.0
Rosecky Patrik;Varsanyi Adam;1.0
Synek Jaroslav;Roman Filip;1.0
Vaculik Martin;Jokay David;1.0
Hartingerova Martina;Perecz Mario;0.0
Valent Tomas;Stefan Matej;1.0
Bures Lukas;Vitek Tomas;1.0
Petrisakova Katarina;Radsetoulal Vlastimil;1.0

Kuchar Matej;Ulcak Michael;1.0
Rucek Kristian;Shelest Oleksii;1.0
Rysanek Jakub;Rosecky Patrik;1.0
Kucera David;Synek Jaroslav;1.0
Kuna Martin;Valent Tomas;1.0
Ibrahim Emad Eldin;Krakovsky Matej;0.0
Gvozdjak Peter;Vitek Tomas;1.0
Huska Jan;Petrisakova Katarina;1.0
Holba Josef;Palenik Martin;1.0
Tulis Jan;Bures Lukas;1.0
Pelanek Daniel;Buch Marek;0.0
Vaculik Martin;Perecz Mario;1.0
Kostelnik Martin;Hartingerova Martina;0.0
Prc Daniel;Cernicky Martin;1.0
Fojtik Jakub;Stefan Matej;1.0
Kromp Milos;Roman Filip;0.0
Radsetoulal Vlastimil;Maresova Valentyna Marie;1.0
Varsanyi Adam;Jokay David;1.0

Kuchar Matej;Tulis Jan;1.0
Rucek Kristian;Vaculik Martin;1.0
Rysanek Jakub;Kucera David;1.0
Kuna Martin;Huska Jan;1.0
Ibrahim Emad Eldin;Holba Josef;1.0
Gvozdjak Peter;Radsetoulal Vlastimil;1.0
Ulcak Michael;Krakovsky Matej;1.0
Shelest Oleksii;Buch Marek;1.0
Rosecky Patrik;Prc Daniel;1.0
Pelanek Daniel;Jokay David;1.0
Synek Jaroslav;Bures Lukas;0.0
Kostelnik Martin;Varsanyi Adam;1.0
Hartingerova Martina;Fojtik Jakub;1.0
Valent Tomas;Petrisakova Katarina;1.0
Perecz Mario;Roman Filip;1.0
Palenik Martin;Cernicky Martin;1.0
Kromp Milos;Stefan Matej;1.0
Vitek Tomas;Maresova Valentyna Marie;1.0

Kuchar Matej;Rysanek Jakub;1.0
Rucek Kristian;Kuna Martin;1.0
Kucera David;Rosecky Patrik;1.0
